n=0, 0 0 1 1 1 1 1 1 
n=8, 1 0 1 0 1 1 0 1 
n=16, 0 0 0 1 0 0 0 1 
n=24, 0 0 0 0 0 1 1 0 
n=32, 0 1 1 1 0 1 1 1 
n=40, 1 0 0 0 1 1 0 1 
n=48, 1 0 1 1 1 0 0 0 
n=56, 0 0 0 0 1 0 1 0 
n=64, 1 1 1 1 0 0 1 1 
n=72, 0 1 1 0 0 0 0 0 
n=80, 1 0 1 1 0 1 0 1 
n=88, 0 0 0 0 1 0 1 0 
n=96, 0 0 0 1 1 1 1 1 
n=104, 0 0 0 0 1 1 0 1 
n=112, 1 0 1 1 0 1 0 1 
n=120, 1 0 1 0 1 0 1 1 
n=128, 1 0 0 1 0 0 1 1 
n=136, 1 0 1 0 1 1 0 1 
n=144, 0 1 0 1 1 0 0 0 
n=152, 1 0 1 0 1 0 1 0 
n=160, 0 0 0 1 0 0 1 1 
n=168, 0 1 0 0 0 1 0 0 
n=176, 0 0 0 1 0 1 0 0 
n=184, 1 0 1 0 1 1 1 0 
n=192, 1 1 1 1 0 1 1 1 
n=200, 1 1 1 0 1 0 0 1 
n=208, 1 0 0 1 0 1 0 0 
n=216, 0 1 0 0 1 0 1 1 
n=224, 1 0 1 1 0 0 1 1 
n=232, 0 1 0 0 1 0 0 1 
n=240, 0 1 1 1 0 1 0 0 
n=248, 0 0 0 0 0 1 1 0 
n=256, 1 0 1 1 0 0 1 1 
n=264, 1 0 1 0 1 1 0 0 
n=272, 1 1 1 1 0 0 0 0 
n=280, 0 0 0 0 0 1 1 0 
n=288, 0 1 0 1 0 0 1 1 
n=296, 1 1 0 0 1 0 0 1 
n=304, 0 1 1 1 0 0 0 0 
n=312, 0 1 1 0 1 1 1 1 
n=320, 0 0 0 1 1 1 1 1 
n=328, 1 1 1 0 1 0 0 1 
n=336, 1 0 0 1 0 1 0 0 
n=344, 1 1 1 0 0 1 1 0 
n=352, 0 0 0 1 1 1 1 1 
n=360, 0 0 1 0 1 0 0 0 
n=368, 1 1 0 1 0 0 0 0 
n=376, 0 1 1 0 0 0 1 0 
n=384, 1 1 1 1 0 0 1 0 
n=392, 0 1 1 0 0 1 0 1 
n=400, 1 1 0 1 0 0 0 0 
n=408, 1 0 0 0 1 1 1 1 
n=416, 1 1 0 1 1 1 1 1 
n=424, 0 0 1 0 0 1 0 1 
n=432, 0 0 1 1 0 0 0 0 
n=440, 1 1 0 0 0 0 1 0 
n=448, 0 1 1 1 1 1 1 1 
n=456, 1 0 0 0 1 0 0 0 
n=464, 0 1 1 1 1 1 0 0 
n=472, 1 1 0 0 0 0 1 0 
n=480, 1 0 0 1 0 1 1 0 
n=488, 1 0 0 0 0 1 0 1 
