n=0, 0 0 0 0 0 0 0 1 
n=8, 0 0 0 0 0 0 1 0 
n=16, 0 0 0 0 0 0 1 1 
n=24, 0 0 0 0 0 1 0 0 
n=32, 0 0 0 0 0 1 0 1 
n=40, 0 0 0 0 0 1 1 0 
n=48, 0 0 0 0 0 1 1 1 
n=56, 0 0 0 0 1 0 0 0 
n=64, 0 0 0 0 1 0 0 1 
n=72, 0 0 0 0 1 0 1 0 
n=80, 0 0 0 0 1 0 1 1 
n=88, 0 0 0 0 1 1 0 0 
n=96, 0 0 0 0 1 1 0 1 
n=104, 0 0 0 0 1 1 1 0 
n=112, 0 0 0 0 1 1 1 1 
n=120, 0 0 0 1 0 0 0 0 
n=128, 0 0 0 1 0 0 0 1 
n=136, 0 0 0 1 0 0 1 0 
n=144, 0 0 0 1 0 0 1 1 
n=152, 0 0 0 1 0 1 0 0 
n=160, 0 0 0 1 0 1 0 1 
n=168, 0 0 0 1 0 1 1 0 
n=176, 0 0 0 1 0 1 1 1 
n=184, 0 0 0 1 1 0 0 0 
n=192, 0 0 0 1 1 0 0 1 
n=200, 0 0 0 1 1 0 1 0 
n=208, 0 0 0 1 1 0 1 1 
n=216, 0 0 0 1 1 1 0 0 
n=224, 0 0 0 1 1 1 0 1 
n=232, 0 0 0 1 1 1 1 0 
n=240, 0 0 0 1 1 1 1 1 
n=248, 0 0 1 0 0 0 0 0 
n=256, 0 0 1 0 0 0 0 1 
n=264, 0 0 1 0 0 0 1 0 
n=272, 0 0 1 0 0 0 1 1 
n=280, 0 0 1 0 0 1 0 0 
n=288, 0 0 1 0 0 1 0 1 
n=296, 0 0 1 0 0 1 1 0 
n=304, 0 0 1 0 0 1 1 1 
n=312, 0 0 1 0 1 0 0 0 
n=320, 0 0 1 0 1 0 0 1 
n=328, 0 0 1 0 1 0 1 0 
n=336, 0 0 1 0 1 0 1 1 
n=344, 0 0 1 0 1 1 0 0 
n=352, 0 0 1 0 1 1 0 1 
n=360, 0 0 1 0 1 1 1 0 
n=368, 0 0 1 0 1 1 1 1 
n=376, 0 0 1 1 0 0 0 0 
n=384, 0 0 1 1 0 0 0 1 
n=392, 0 0 1 1 0 0 1 0 
n=400, 0 0 1 1 0 0 1 1 
n=408, 0 0 1 1 0 1 0 0 
n=416, 0 0 1 1 0 1 0 1 
n=424, 0 0 1 1 0 1 1 0 
n=432, 0 0 1 1 0 1 1 1 
n=440, 0 0 1 1 1 0 0 0 
n=448, 0 0 1 1 1 0 0 1 
n=456, 0 0 1 1 1 0 1 0 
n=464, 0 0 1 1 1 0 1 1 
n=472, 0 0 1 1 1 1 0 0 
n=480, 0 0 1 1 1 1 0 1 
n=488, 0 0 1 1 1 1 1 0 
n=496, 0 0 1 1 1 1 1 1 
n=504, 0 1 0 0 0 0 0 0 
n=512, 0 1 0 0 0 0 0 1 
n=520, 0 1 0 0 0 0 1 0 
n=528, 0 1 0 0 0 0 1 1 
n=536, 0 1 0 0 0 1 0 0 
n=544, 0 1 0 0 0 1 0 1 
n=552, 0 1 0 0 0 1 1 0 
n=560, 0 1 0 0 0 1 1 1 
n=568, 0 1 0 0 1 0 0 0 
n=576, 0 1 0 0 1 0 0 1 
n=584, 0 1 0 0 1 0 1 0 
n=592, 0 1 0 0 1 0 1 1 
n=600, 0 1 0 0 1 1 0 0 
n=608, 0 1 0 0 1 1 0 1 
n=616, 0 1 0 0 1 1 1 0 
n=624, 0 1 0 0 1 1 1 1 
n=632, 0 1 0 1 0 0 0 0 
n=640, 0 1 0 1 0 0 0 1 
n=648, 0 1 0 1 0 0 1 0 
n=656, 0 1 0 1 0 0 1 1 
n=664, 0 1 0 1 0 1 0 0 
n=672, 0 1 0 1 0 1 0 1 
n=680, 0 1 0 1 0 1 1 0 
n=688, 0 1 0 1 0 1 1 1 
n=696, 0 1 0 1 1 0 0 0 
n=704, 0 1 0 1 1 0 0 1 
n=712, 0 1 0 1 1 0 1 0 
n=720, 0 1 0 1 1 0 1 1 
n=728, 0 1 0 1 1 1 0 0 
n=736, 0 1 0 1 1 1 0 1 
n=744, 0 1 0 1 1 1 1 0 
n=752, 0 1 0 1 1 1 1 1 
n=760, 0 1 1 0 0 0 0 0 
n=768, 0 1 1 0 0 0 0 1 
n=776, 0 1 1 0 0 0 1 0 
n=784, 0 1 1 0 0 0 1 1 
n=792, 0 1 1 0 0 1 0 0 
n=800, 0 1 1 0 0 1 0 1 
n=808, 0 1 1 0 0 1 1 0 
n=816, 0 1 1 0 0 1 1 1 
n=824, 0 1 1 0 1 0 0 0 
n=832, 0 1 1 0 1 0 0 1 
n=840, 0 1 1 0 1 0 1 0 
n=848, 0 1 1 0 1 0 1 1 
n=856, 0 1 1 0 1 1 0 0 
n=864, 0 1 1 0 1 1 0 1 
n=872, 0 1 1 0 1 1 1 0 
n=880, 0 1 1 0 1 1 1 1 
n=888, 0 1 1 1 0 0 0 0 
n=896, 0 1 1 1 0 0 0 1 
n=904, 0 1 1 1 0 0 1 0 
n=912, 0 1 1 1 0 0 1 1 
n=920, 0 1 1 1 0 1 0 0 
n=928, 0 1 1 1 0 1 0 1 
n=936, 0 1 1 1 0 1 1 0 
n=944, 0 1 1 1 0 1 1 1 
n=952, 0 1 1 1 1 0 0 0 
n=960, 0 1 1 1 1 0 0 1 
n=968, 0 1 1 1 1 0 1 0 
n=976, 0 1 1 1 1 0 1 1 
n=984, 0 1 1 1 1 1 0 0 
n=992, 0 1 1 1 1 1 0 1 
n=1000, 0 1 1 1 1 1 1 0 
n=1008, 0 1 1 1 1 1 1 1 
n=1016, 1 0 0 0 0 0 0 0 
n=1024, 1 0 0 0 0 0 0 1 
n=1032, 1 0 0 0 0 0 1 0 
n=1040, 1 0 0 0 0 0 1 1 
n=1048, 1 0 0 0 0 1 0 0 
n=1056, 1 0 0 0 0 1 0 1 
n=1064, 1 0 0 0 0 1 1 0 
n=1072, 1 0 0 0 0 1 1 1 
n=1080, 1 0 0 0 1 0 0 0 
n=1088, 1 0 0 0 1 0 0 1 
n=1096, 1 0 0 0 1 0 1 0 
n=1104, 1 0 0 0 1 0 1 1 
n=1112, 1 0 0 0 1 1 0 0 
n=1120, 1 0 0 0 1 1 0 1 
n=1128, 1 0 0 0 1 1 1 0 
n=1136, 1 0 0 0 1 1 1 1 
n=1144, 1 0 0 1 0 0 0 0 
n=1152, 1 0 0 1 0 0 0 1 
n=1160, 1 0 0 1 0 0 1 0 
n=1168, 1 0 0 1 0 0 1 1 
n=1176, 1 0 0 1 0 1 0 0 
n=1184, 1 0 0 1 0 1 0 1 
n=1192, 1 0 0 1 0 1 1 0 
n=1200, 1 0 0 1 0 1 1 1 
n=1208, 1 0 0 1 1 0 0 0 
n=1216, 1 0 0 1 1 0 0 1 
n=1224, 1 0 0 1 1 0 1 0 
n=1232, 1 0 0 1 1 0 1 1 
n=1240, 1 0 0 1 1 1 0 0 
n=1248, 1 0 0 1 1 1 0 1 
n=1256, 1 0 0 1 1 1 1 0 
n=1264, 1 0 0 1 1 1 1 1 
n=1272, 1 0 1 0 0 0 0 0 
n=1280, 1 0 1 0 0 0 0 1 
n=1288, 1 0 1 0 0 0 1 0 
n=1296, 1 0 1 0 0 0 1 1 
n=1304, 1 0 1 0 0 1 0 0 
n=1312, 1 0 1 0 0 1 0 1 
n=1320, 1 0 1 0 0 1 1 0 
n=1328, 1 0 1 0 0 1 1 1 
n=1336, 1 0 1 0 1 0 0 0 
n=1344, 1 0 1 0 1 0 0 1 
n=1352, 1 0 1 0 1 0 1 0 
n=1360, 1 0 1 0 1 0 1 1 
n=1368, 1 0 1 0 1 1 0 0 
n=1376, 1 0 1 0 1 1 0 1 
n=1384, 1 0 1 0 1 1 1 0 
n=1392, 1 0 1 0 1 1 1 1 
n=1400, 1 0 1 1 0 0 0 0 
n=1408, 1 0 1 1 0 0 0 1 
n=1416, 1 0 1 1 0 0 1 0 
n=1424, 1 0 1 1 0 0 1 1 
n=1432, 1 0 1 1 0 1 0 0 
n=1440, 1 0 1 1 0 1 0 1 
n=1448, 1 0 1 1 0 1 1 0 
n=1456, 1 0 1 1 0 1 1 1 
n=1464, 1 0 1 1 1 0 0 0 
n=1472, 1 0 1 1 1 0 0 1 
n=1480, 1 0 1 1 1 0 1 0 
n=1488, 1 0 1 1 1 0 1 1 
n=1496, 1 0 1 1 1 1 0 0 
n=1504, 1 0 1 1 1 1 0 1 
n=1512, 1 0 1 1 1 1 1 0 
n=1520, 1 0 1 1 1 1 1 1 
